Game{name= Persona Q: Shadow of the Labyrinth, platform= 3DS, developer= Atlus, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Nov 25, 2014, positiveCritics= 50, neutralCritics= 6, negativeCritics= 0, positiveUsers= 20, neutralUsers= 6, negativeUsers= 6, metaScore= 83, userScore= 52}

Game{name= Monster Hunter 4 Ultimate, platform= 3DS, developer= Capcom, genre= Role-Playing, numberPlayers= Up to 4 , rating= T, releaseDate= Feb 13, 2015, positiveCritics= 75, neutralCritics= 5, negativeCritics= 0, positiveUsers= 70, neutralUsers= 6, negativeUsers= 8, metaScore= 86, userScore= 86}

Game{name= Hand of Fate, platform= XONE, developer= Defiant Development, genre= Role-Playing, numberPlayers= , rating= T, releaseDate= Feb 18, 2015, positiveCritics= 9, neutralCritics= 2, negativeCritics= 0, positiveUsers= 9, neutralUsers= 3, negativeUsers= 2, metaScore= 80, userScore= 73}

Game{name= Dark Souls II: Scholar of the First Sin, platform= XONE, developer= From Software, genre= Role-Playing, numberPlayers= Up to 6 , rating= T, releaseDate= Apr  7, 2015, positiveCritics= 11, neutralCritics= 0, negativeCritics= 0, positiveUsers= 19, neutralUsers= 9, negativeUsers= 5, metaScore= 89, userScore= 77}

Game{name= Bastion, platform= PS4, developer= Supergiant Games, genre= Role-Playing, numberPlayers= , rating= E10+, releaseDate= Apr  7, 2015, positiveCritics= 13, neutralCritics= 0, negativeCritics= 0, positiveUsers= 12, neutralUsers= 8, negativeUsers= 3, metaScore= 89, userScore= 78}

Game{name= Dark Souls II: Scholar of the First Sin, platform= PS4, developer= From Software, genre= Role-Playing, numberPlayers= Up to 6 , rating= T, releaseDate= Apr  7, 2015, positiveCritics= 40, neutralCritics= 2, negativeCritics= 0, positiveUsers= 84, neutralUsers= 18, negativeUsers= 15, metaScore= 87, userScore= 80}

Game{name= Xenoblade Chronicles 3D, platform= 3DS, developer= Monster Games Inc., genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Apr 10, 2015, positiveCritics= 59, neutralCritics= 4, negativeCritics= 0, positiveUsers= 34, neutralUsers= 7, negativeUsers= 6, metaScore= 86, userScore= 89}

Game{name= Shin Megami Tensei: Devil Survivor 2 Record Breaker, platform= 3DS, developer= Atlus, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= T, releaseDate= May  5, 2015, positiveCritics= 35, neutralCritics= 2, negativeCritics= 0, positiveUsers= 7, neutralUsers= 0, negativeUsers= 1, metaScore= 84, userScore= 39}

Game{name= Etrian Odyssey 2 Untold: The Fafnir Knight, platform= 3DS, developer= Atlus, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Aug  4, 2015, positiveCritics= 36, neutralCritics= 5, negativeCritics= 0, positiveUsers= 2, neutralUsers= 1, negativeUsers= 1, metaScore= 82, userScore= 81}

Game{name= Shadowrun: Hong Kong, platform= PC, developer= Harebrained Schemes LLC, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= , releaseDate= Aug 20, 2015, positiveCritics= 25, neutralCritics= 3, negativeCritics= 0, positiveUsers= 18, neutralUsers= 9, negativeUsers= 7, metaScore= 81, userScore= 77}

Game{name= Grandia II Anniversary Edition, platform= PC, developer= GungHo, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Aug 24, 2015, positiveCritics= 6, neutralCritics= 2, negativeCritics= 0, positiveUsers= 2, neutralUsers= 0, negativeUsers= 0, metaScore= 80, userScore= 77}

Game{name= Undertale, platform= PC, developer= tobyfox, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= , releaseDate= Sep 15, 2015, positiveCritics= 40, neutralCritics= 3, negativeCritics= 0, positiveUsers= 760, neutralUsers= 69, negativeUsers= 50, metaScore= 92, userScore= 83}

Game{name= The Witcher 3: Wild Hunt - Hearts of Stone, platform= PS4, developer= CD Projekt Red Studio, genre= Role-Playing, numberPlayers= , rating= M, releaseDate= Oct 12, 2015, positiveCritics= 25, neutralCritics= 0, negativeCritics= 0, positiveUsers= 69, neutralUsers= 6, negativeUsers= 1, metaScore= 90, userScore= 88}

Game{name= The Witcher 3: Wild Hunt - Hearts of Stone, platform= PC, developer= CD Projekt Red Studio, genre= Role-Playing, numberPlayers= , rating= M, releaseDate= Oct 13, 2015, positiveCritics= 36, neutralCritics= 1, negativeCritics= 0, positiveUsers= 101, neutralUsers= 3, negativeUsers= 3, metaScore= 89, userScore= 91}

Game{name= 'Wasteland 2: Director''s Cut', platform= PS4, developer= InXile Entertainment, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Oct 13, 2015, positiveCritics= 18, neutralCritics= 3, negativeCritics= 0, positiveUsers= 17, neutralUsers= 5, negativeUsers= 2, metaScore= 80, userScore= 76}

Game{name= Guild Wars 2: Heart of Thorns, platform= PC, developer= ArenaNet, genre= Role-Playing, numberPlayers= , rating= T, releaseDate= Oct 23, 2015, positiveCritics= 19, neutralCritics= 3, negativeCritics= 0, positiveUsers= 306, neutralUsers= 35, negativeUsers= 154, metaScore= 81, userScore= 73}

Game{name= Divinity: Original Sin Enhanced Edition, platform= XONE, developer= Larian Studios Games Ltd, genre= Role-Playing, numberPlayers= , rating= M, releaseDate= Oct 27, 2015, positiveCritics= 7, neutralCritics= 0, negativeCritics= 0, positiveUsers= 7, neutralUsers= 2, negativeUsers= 2, metaScore= 88, userScore= 77}

Game{name= Divinity: Original Sin Enhanced Edition, platform= PS4, developer= Larian Studios Games Ltd, genre= Role-Playing, numberPlayers= 2, rating= M, releaseDate= Oct 27, 2015, positiveCritics= 39, neutralCritics= 0, negativeCritics= 0, positiveUsers= 43, neutralUsers= 8, negativeUsers= 8, metaScore= 88, userScore= 79}

Game{name= Bloodborne: The Old Hunters, platform= PS4, developer= From Software, genre= Role-Playing, numberPlayers= , rating= M, releaseDate= Nov 24, 2015, positiveCritics= 59, neutralCritics= 2, negativeCritics= 0, positiveUsers= 82, neutralUsers= 6, negativeUsers= 3, metaScore= 87, userScore= 90}

Game{name= 'Dragon''s Dogma: Dark Arisen', platform= PC, developer= Capcom, QLOC, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Jan 15, 2016, positiveCritics= 54, neutralCritics= 8, negativeCritics= 0, positiveUsers= 61, neutralUsers= 12, negativeUsers= 16, metaScore= 81, userScore= 81}

Game{name= Darkest Dungeon, platform= PC, developer= Red Hook Studios, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= , releaseDate= Jan 19, 2016, positiveCritics= 52, neutralCritics= 3, negativeCritics= 0, positiveUsers= 71, neutralUsers= 19, negativeUsers= 24, metaScore= 84, userScore= 78}

Game{name= Crypt of the NecroDancer, platform= PS4, developer= Brace Yourself Games, genre= Role-Playing, numberPlayers= , rating= T, releaseDate= Feb  2, 2016, positiveCritics= 8, neutralCritics= 0, negativeCritics= 0, positiveUsers= 3, neutralUsers= 2, negativeUsers= 0, metaScore= 85, userScore= 67}

Game{name= Hyper Light Drifter, platform= PC, developer= Heart Machine, genre= Role-Playing, numberPlayers= , rating= , releaseDate= Mar 31, 2016, positiveCritics= 43, neutralCritics= 4, negativeCritics= 0, positiveUsers= 43, neutralUsers= 8, negativeUsers= 3, metaScore= 84, userScore= 83}

Game{name= Dark Souls III, platform= PC, developer= From Software, genre= Role-Playing, numberPlayers= Up to 6 , rating= M, releaseDate= Apr 11, 2016, positiveCritics= 54, neutralCritics= 2, negativeCritics= 0, positiveUsers= 162, neutralUsers= 42, negativeUsers= 57, metaScore= 89, userScore= 84}

Game{name= Dark Souls III, platform= PS4, developer= From Software, genre= Role-Playing, numberPlayers= Up to 6 , rating= M, releaseDate= Apr 12, 2016, positiveCritics= 68, neutralCritics= 1, negativeCritics= 0, positiveUsers= 284, neutralUsers= 32, negativeUsers= 37, metaScore= 89, userScore= 88}

Game{name= Dark Souls III, platform= XONE, developer= From Software, genre= Role-Playing, numberPlayers= Up to 6 , rating= M, releaseDate= Apr 12, 2016, positiveCritics= 14, neutralCritics= 0, negativeCritics= 0, positiveUsers= 56, neutralUsers= 5, negativeUsers= 10, metaScore= 87, userScore= 86}

Game{name= Final Fantasy IX, platform= PC, developer= Square Enix, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= , releaseDate= Apr 14, 2016, positiveCritics= 7, neutralCritics= 0, negativeCritics= 0, positiveUsers= 10, neutralUsers= 0, negativeUsers= 1, metaScore= 84, userScore= 89}

Game{name= Bravely Second: End Layer, platform= 3DS, developer= Silicon Studio, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Apr 15, 2016, positiveCritics= 58, neutralCritics= 12, negativeCritics= 0, positiveUsers= 12, neutralUsers= 10, negativeUsers= 4, metaScore= 81, userScore= 83}

Game{name= The Banner Saga 2, platform= PC, developer= Stoic, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= , releaseDate= Apr 19, 2016, positiveCritics= 51, neutralCritics= 9, negativeCritics= 0, positiveUsers= 16, neutralUsers= 3, negativeUsers= 3, metaScore= 82, userScore= 83}

Game{name= The Witcher 3: Wild Hunt - Blood and Wine, platform= PC, developer= CD Projekt Red Studio, genre= Role-Playing, numberPlayers= , rating= M, releaseDate= May 30, 2016, positiveCritics= 50, neutralCritics= 0, negativeCritics= 0, positiveUsers= 162, neutralUsers= 7, negativeUsers= 4, metaScore= 92, userScore= 92}

Game{name= The Witcher 3: Wild Hunt - Blood and Wine, platform= PS4, developer= CD Projekt Red Studio, genre= Role-Playing, numberPlayers= , rating= M, releaseDate= May 30, 2016, positiveCritics= 26, neutralCritics= 1, negativeCritics= 0, positiveUsers= 79, neutralUsers= 3, negativeUsers= 1, metaScore= 91, userScore= 89}

Game{name= Odin Sphere Leifthrasir, platform= PS4, developer= Vanillaware, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Jun  7, 2016, positiveCritics= 48, neutralCritics= 1, negativeCritics= 0, positiveUsers= 16, neutralUsers= 6, negativeUsers= 1, metaScore= 87, userScore= 81}

