Game{name= Bulletstorm, platform= PC, developer= Epic Games, People Can Fly, genre= General, numberPlayers= , rating= M, releaseDate= Feb 21, 2011, positiveCritics= 30, neutralCritics= 4, negativeCritics= 0, positiveUsers= 110, neutralUsers= 39, negativeUsers= 34, metaScore= 82, userScore= 77}

Game{name= What Remains of Edith Finch, platform= PS4, developer= Giant Sparrow, genre= General, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Apr 25, 2017, positiveCritics= 61, neutralCritics= 4, negativeCritics= 0, positiveUsers= 31, neutralUsers= 9, negativeUsers= 3, metaScore= 88, userScore= 81}

Game{name= Little Nightmares, platform= PC, developer= Tarsier Studios, genre= General, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Apr 28, 2017, positiveCritics= 24, neutralCritics= 5, negativeCritics= 0, positiveUsers= 32, neutralUsers= 5, negativeUsers= 1, metaScore= 81, userScore= 81}

Game{name= Prey, platform= XONE, developer= Arkane Studios, genre= General, numberPlayers= No Online Multiplayer, rating= M, releaseDate= May  5, 2017, positiveCritics= 20, neutralCritics= 2, negativeCritics= 0, positiveUsers= 26, neutralUsers= 8, negativeUsers= 9, metaScore= 84, userScore= 77}

Game{name= Prey, platform= PC, developer= Arkane Studios, genre= General, numberPlayers= No Online Multiplayer, rating= M, releaseDate= May  5, 2017, positiveCritics= 35, neutralCritics= 2, negativeCritics= 1, positiveUsers= 116, neutralUsers= 38, negativeUsers= 17, metaScore= 82, userScore= 81}

Game{name= RiME, platform= PS4, developer= Tequila Works, genre= General, numberPlayers= , rating= E10+, releaseDate= May 26, 2017, positiveCritics= 48, neutralCritics= 15, negativeCritics= 0, positiveUsers= 41, neutralUsers= 14, negativeUsers= 3, metaScore= 80, userScore= 77}

Game{name= Shin Megami Tensei: Strange Journey Redux, platform= 3DS, developer= Atlus, genre= General, numberPlayers= No Online Multiplayer, rating= M, releaseDate= May 15, 2018, positiveCritics= 26, neutralCritics= 6, negativeCritics= 0, positiveUsers= 6, neutralUsers= 0, negativeUsers= 3, metaScore= 80, userScore= 32}

Game{name= Octopath Traveler, platform= Switch, developer= Square Enix, Acquire, genre= General, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Jul 13, 2018, positiveCritics= 69, neutralCritics= 9, negativeCritics= 0, positiveUsers= 169, neutralUsers= 27, negativeUsers= 19, metaScore= 83, userScore= 87}

Game{name= Wargroove, platform= PC, developer= Chucklefish, genre= General, numberPlayers= Up to 4 , rating= E10+, releaseDate= Feb  1, 2019, positiveCritics= 17, neutralCritics= 2, negativeCritics= 0, positiveUsers= 2, neutralUsers= 2, negativeUsers= 3, metaScore= 82, userScore= 59}

Game{name= Wargroove, platform= XONE, developer= Chucklefish, genre= General, numberPlayers= Up to 4 , rating= E10+, releaseDate= Feb  1, 2019, positiveCritics= 6, neutralCritics= 1, negativeCritics= 0, positiveUsers= 3, neutralUsers= 0, negativeUsers= 1, metaScore= 80, userScore= 48}

Game{name= Etrian Odyssey Nexus, platform= 3DS, developer= Atlus, genre= General, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Feb  5, 2019, positiveCritics= 24, neutralCritics= 2, negativeCritics= 0, positiveUsers= 1, neutralUsers= 1, negativeUsers= 1, metaScore= 80, userScore= 66}

