Game{name= FIFA 18, platform= XONE, developer= EA Vancouver, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 26, 2017, positiveCritics= 20, neutralCritics= 1, negativeCritics= 0, positiveUsers= 4, neutralUsers= 8, negativeUsers= 46, metaScore= 83, userScore= 30}

Game{name= FIFA 18, platform= PC, developer= EA Vancouver, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 26, 2017, positiveCritics= 6, neutralCritics= 2, negativeCritics= 0, positiveUsers= 11, neutralUsers= 4, negativeUsers= 91, metaScore= 81, userScore= 26}

Game{name= Football Manager 2018, platform= PC, developer= Sports Interactive, genre= Sports, numberPlayers= , rating= , releaseDate= Nov 10, 2017, positiveCritics= 30, neutralCritics= 3, negativeCritics= 0, positiveUsers= 4, neutralUsers= 3, negativeUsers= 9, metaScore= 82, userScore= 57}

Game{name= Rocket League, platform= Switch, developer= Psyonix, genre= Sports, numberPlayers= Up to 8 , rating= E, releaseDate= Nov 14, 2017, positiveCritics= 31, neutralCritics= 1, negativeCritics= 0, positiveUsers= 28, neutralUsers= 8, negativeUsers= 3, metaScore= 86, userScore= 83}

Game{name= MLB The Show 18, platform= PS4, developer= Sony Interactive Entertainment, genre= Sports, numberPlayers= Up to 8 , rating= E, releaseDate= Mar 27, 2018, positiveCritics= 29, neutralCritics= 6, negativeCritics= 0, positiveUsers= 12, neutralUsers= 9, negativeUsers= 9, metaScore= 82, userScore= 63}

Game{name= Super Mega Baseball 2, platform= XONE, developer= Metalhead Software, genre= Sports, numberPlayers= Up to 4 , rating= E, releaseDate= May  1, 2018, positiveCritics= 19, neutralCritics= 2, negativeCritics= 0, positiveUsers= 9, neutralUsers= 0, negativeUsers= 0, metaScore= 81, userScore= 71}

Game{name= Laser League, platform= PS4, developer= roll7, genre= Sports, numberPlayers= Up to 6 , rating= E10+, releaseDate= May 10, 2018, positiveCritics= 24, neutralCritics= 3, negativeCritics= 0, positiveUsers= 6, neutralUsers= 1, negativeUsers= 2, metaScore= 82, userScore= 68}

Game{name= Laser League, platform= XONE, developer= roll7, genre= Sports, numberPlayers= Up to 6 , rating= E10+, releaseDate= May 10, 2018, positiveCritics= 10, neutralCritics= 1, negativeCritics= 0, positiveUsers= 7, neutralUsers= 0, negativeUsers= 0, metaScore= 81, userScore= 73}

Game{name= Madden NFL 19, platform= XONE, developer= EA Tiburon, genre= Sports, numberPlayers= Up to 6 , rating= E, releaseDate= Aug 10, 2018, positiveCritics= 19, neutralCritics= 2, negativeCritics= 0, positiveUsers= 7, neutralUsers= 1, negativeUsers= 19, metaScore= 81, userScore= 33}

Game{name= Madden NFL 19, platform= PS4, developer= EA Tiburon, genre= Sports, numberPlayers= Up to 6 , rating= E, releaseDate= Aug 10, 2018, positiveCritics= 23, neutralCritics= 7, negativeCritics= 0, positiveUsers= 5, neutralUsers= 10, negativeUsers= 84, metaScore= 80, userScore= 23}

Game{name= Pro Evolution Soccer 2019, platform= XONE, developer= Konami, genre= Sports, numberPlayers= Up to 22 , rating= E, releaseDate= Aug 28, 2018, positiveCritics= 11, neutralCritics= 1, negativeCritics= 0, positiveUsers= 7, neutralUsers= 1, negativeUsers= 4, metaScore= 82, userScore= 68}

Game{name= The Golf Club 2019 featuring PGA Tour, platform= XONE, developer= HB Studios Multimedia, genre= Sports, numberPlayers= Up to 4 , rating= E, releaseDate= Aug 28, 2018, positiveCritics= 6, neutralCritics= 1, negativeCritics= 0, positiveUsers= 3, neutralUsers= 1, negativeUsers= 2, metaScore= 80, userScore= 72}

Game{name= Pro Evolution Soccer 2019, platform= PC, developer= Konami, genre= Sports, numberPlayers= Up to 22 , rating= E, releaseDate= Aug 28, 2018, positiveCritics= 6, neutralCritics= 2, negativeCritics= 0, positiveUsers= 8, neutralUsers= 2, negativeUsers= 12, metaScore= 80, userScore= 57}

Game{name= NBA 2K19, platform= XONE, developer= Visual Concepts, genre= Sports, numberPlayers= Up to 10 , rating= E, releaseDate= Sep  7, 2018, positiveCritics= 16, neutralCritics= 2, negativeCritics= 0, positiveUsers= 6, neutralUsers= 2, negativeUsers= 12, metaScore= 83, userScore= 28}

Game{name= NBA 2K19, platform= PS4, developer= Visual Concepts, genre= Sports, numberPlayers= Up to 10 , rating= E, releaseDate= Sep  7, 2018, positiveCritics= 39, neutralCritics= 9, negativeCritics= 1, positiveUsers= 17, neutralUsers= 6, negativeUsers= 88, metaScore= 82, userScore= 26}

Game{name= NHL 19, platform= XONE, developer= EA Sports, genre= Sports, numberPlayers= Up to 12 , rating= E10+, releaseDate= Sep 11, 2018, positiveCritics= 19, neutralCritics= 1, negativeCritics= 0, positiveUsers= 3, neutralUsers= 2, negativeUsers= 4, metaScore= 82, userScore= 67}

Game{name= NHL 19, platform= PS4, developer= EA Sports, genre= Sports, numberPlayers= Up to 12 , rating= E10+, releaseDate= Sep 14, 2018, positiveCritics= 21, neutralCritics= 8, negativeCritics= 0, positiveUsers= 9, neutralUsers= 4, negativeUsers= 19, metaScore= 80, userScore= 53}

Game{name= FIFA 19, platform= PS4, developer= EA Sports, genre= Sports, numberPlayers= Up to 22 , rating= E, releaseDate= Sep 25, 2018, positiveCritics= 59, neutralCritics= 8, negativeCritics= 0, positiveUsers= 26, neutralUsers= 19, negativeUsers= 207, metaScore= 83, userScore= 17}

Game{name= FIFA 19, platform= XONE, developer= EA Sports, genre= Sports, numberPlayers= Up to 22 , rating= E, releaseDate= Sep 25, 2018, positiveCritics= 23, neutralCritics= 2, negativeCritics= 0, positiveUsers= 4, neutralUsers= 2, negativeUsers= 32, metaScore= 83, userScore= 20}

Game{name= WindJammers, platform= Switch, developer= Data East, DotEmu, genre= Sports, numberPlayers= 2, rating= E, releaseDate= Oct 23, 2018, positiveCritics= 11, neutralCritics= 2, negativeCritics= 0, positiveUsers= 0, neutralUsers= 0, negativeUsers= 0, metaScore= 82, userScore= 84}

Game{name= Football Manager 2019, platform= PC, developer= Sports Interactive, genre= Sports, numberPlayers= Online Multiplayer, rating= , releaseDate= Nov  2, 2018, positiveCritics= 31, neutralCritics= 1, negativeCritics= 0, positiveUsers= 3, neutralUsers= 1, negativeUsers= 7, metaScore= 86, userScore= 65}

Game{name= MLB The Show 19, platform= PS4, developer= Sony Interactive Entertainment, genre= Sports, numberPlayers= , rating= E, releaseDate= Mar 26, 2019, positiveCritics= 8, neutralCritics= 0, negativeCritics= 0, positiveUsers= 9, neutralUsers= 2, negativeUsers= 2, metaScore= 85, userScore= 69}

